Ngo Name,Ngo ID,Location,Year Founded,Website,Founder,Email,Phone,Address
Hope Foundation,156794,"Chennai, Tamil Nadu",1995,www.hopefoundation.org,Amit Verma,2004pranali@gmail.com,9175927689,"No. 363, 2nd Street, MG Road, Bangalore - 416563"
Bright Future Trust,490249,"Chennai, Tamil Nadu",2012,www.brightfuturetrust.org,Sunita Reddy,omchauhan2026@gmail.com,9175927689,"No. 205, 5th Street, Gandhi Nagar, Hyderabad - 517971"
Helping Hands,472523,"Chennai, Tamil Nadu",2018,www.helpinghands.org,Amit Verma,pranali.realtyai@gmail.com,9175927689,"No. 61, 1st Street, Gandhi Nagar, Mumbai - 360633"
Green Earth Initiative,826307,"Chennai, Tamil Nadu",2009,www.greenearthinitiative.org,Sunita Reddy,om.221393101@vcet.edu.in,9175927689,"No. 387, 3rd Street, Shanthi Colony, Bangalore - 844340"
Education First,473503,"Chennai, Tamil Nadu",2002,www.educationfirst.org,Amit Verma,pranali.221463201@vcet.edu.in,9175927689,"No. 255, 4th Street, Periyar Nagar, Mumbai - 524173"
Shelter for All,142486,"Chennai, Tamil Nadu",1996,www.shelterforall.org,Sunita Reddy,contact@shelterforall.org,9175927689,"No. 56, 2nd Street, Gandhi Nagar, Delhi - 620465"
Health & Hope,475160,"Chennai, Tamil Nadu",2007,www.health&hope.org,Rajesh Kumar,contact@health&hope.org,9175927689,"No. 331, 4th Street, Gandhi Nagar, Mumbai - 817526"
Welfare Bridge,702415,"Chennai, Tamil Nadu",2008,www.welfarebridge.org,Neha Gupta,contact@welfarebridge.org,9175927689,"No. 138, 4th Street, Rajaji Street, Mumbai - 623968"
Children’s Aid Society,910081,"Chennai, Tamil Nadu",2012,www.children’saidsociety.org,Sunita Reddy,contact@children’saidsociety.org,9175927689,"No. 293, 3rd Street, Shanthi Colony, Mumbai - 341113"
Women Empowerment League,137768,"Chennai, Tamil Nadu",2005,www.womenempowermentleague.org,Neha Gupta,contact@womenempowermentleague.org,9175927689,"No. 324, 4th Street, Rajaji Street, Bangalore - 261199"
Rural Development Trust,270079,"Chennai, Tamil Nadu",2001,www.ruraldevelopmenttrust.org,Sunita Reddy,contact@ruraldevelopmenttrust.org,9175927689,"No. 41, 1st Street, Shanthi Colony, Chennai - 282381"
Food for All,335409,"Chennai, Tamil Nadu",2019,www.foodforall.org,Rajesh Kumar,contact@foodforall.org,9175927689,"No. 63, 2nd Street, MG Road, Chennai - 372082"
Light of Life,903018,"Chennai, Tamil Nadu",1997,www.lightoflife.org,Amit Verma,contact@lightoflife.org,9175927689,"No. 107, 3rd Street, Shanthi Colony, Hyderabad - 990022"
Dream Builders,307372,"Chennai, Tamil Nadu",2005,www.dreambuilders.org,Neha Gupta,contact@dreambuilders.org,9175927689,"No. 26, 1st Street, Periyar Nagar, Hyderabad - 314504"
EcoGuardians,108802,"Chennai, Tamil Nadu",2014,www.ecoguardians.org,Sunita Reddy,contact@ecoguardians.org,9175927689,"No. 225, 2nd Street, Shanthi Colony, Mumbai - 104001"
Water for Life,368164,"Chennai, Tamil Nadu",2017,www.waterforlife.org,Priya Sharma,contact@waterforlife.org,9175927689,"No. 30, 5th Street, Rajaji Street, Hyderabad - 194956"
Visionary Change,340711,"Chennai, Tamil Nadu",2018,www.visionarychange.org,Neha Gupta,contact@visionarychange.org,9175927689,"No. 119, 5th Street, Shanthi Colony, Mumbai - 375551"
Save the Future,550824,"Chennai, Tamil Nadu",1994,www.savethefuture.org,Rajesh Kumar,contact@savethefuture.org,9175927689,"No. 151, 1st Street, MG Road, Chennai - 689777"
Empower Change,147202,"Chennai, Tamil Nadu",2008,www.empowerchange.org,Priya Sharma,contact@empowerchange.org,9175927689,"No. 83, 2nd Street, Shanthi Colony, Hyderabad - 874938"
Care and Share,967449,"Chennai, Tamil Nadu",1992,www.careandshare.org,Neha Gupta,contact@careandshare.org,9175927689,"No. 38, 2nd Street, Periyar Nagar, Bangalore - 340214"
Youth Upliftment,146625,"Chennai, Tamil Nadu",2018,www.youthupliftment.org,Amit Verma,contact@youthupliftment.org,9175927689,"No. 315, 4th Street, Gandhi Nagar, Chennai - 664941"
New Horizons,274392,"Chennai, Tamil Nadu",2021,www.newhorizons.org,Sunita Reddy,contact@newhorizons.org,9175927689,"No. 7, 4th Street, Shanthi Colony, Bangalore - 379913"
Compassion Unlimited,473463,"Chennai, Tamil Nadu",2012,www.compassionunlimited.org,Neha Gupta,contact@compassionunlimited.org,9175927689,"No. 213, 4th Street, Gandhi Nagar, Bangalore - 769739"
Smile Charitable Trust,340222,"Chennai, Tamil Nadu",2021,www.smilecharitabletrust.org,Rajesh Kumar,contact@smilecharitabletrust.org,9175927689,"No. 16, 5th Street, Shanthi Colony, Delhi - 875414"
Uplift the Needy,753366,"Chennai, Tamil Nadu",2003,www.uplifttheneedy.org,Sunita Reddy,contact@uplifttheneedy.org,9175927689,"No. 83, 4th Street, Gandhi Nagar, Bangalore - 449251"
Safe Haven Foundation,357324,"Chennai, Tamil Nadu",2018,www.safehavenfoundation.org,Amit Verma,contact@safehavenfoundation.org,9175927689,"No. 413, 4th Street, Rajaji Street, Hyderabad - 776915"
Healing Hands,399977,"Chennai, Tamil Nadu",2011,www.healinghands.org,Priya Sharma,contact@healinghands.org,9175927689,"No. 375, 2nd Street, Gandhi Nagar, Delhi - 478672"
Project Kindness,201096,"Chennai, Tamil Nadu",2010,www.projectkindness.org,Priya Sharma,contact@projectkindness.org,9175927689,"No. 285, 4th Street, Periyar Nagar, Delhi - 209394"
Bright Smiles,399034,"Chennai, Tamil Nadu",2021,www.brightsmiles.org,Priya Sharma,contact@brightsmiles.org,9175927689,"No. 168, 3rd Street, Periyar Nagar, Delhi - 772381"
Better Tomorrow Initiative,807454,"Chennai, Tamil Nadu",2002,www.bettertomorrowinitiative.org,Sunita Reddy,contact@bettertomorrowinitiative.org,9175927689,"No. 30, 1st Street, Gandhi Nagar, Delhi - 689340"
Rise and Shine,424014,"Chennai, Tamil Nadu",2015,www.riseandshine.org,Neha Gupta,contact@riseandshine.org,9175927689,"No. 120, 1st Street, MG Road, Chennai - 373891"
Humanity First,457279,"Chennai, Tamil Nadu",2012,www.humanityfirst.org,Neha Gupta,contact@humanityfirst.org,9175927689,"No. 140, 5th Street, MG Road, Hyderabad - 282563"
Future Leaders,292740,"Chennai, Tamil Nadu",2001,www.futureleaders.org,Sunita Reddy,contact@futureleaders.org,9175927689,"No. 408, 5th Street, Periyar Nagar, Mumbai - 777375"
